,movie,score,sentence
432,매트릭스: 리저렉션,1,"20년전 초기에도 내용이 1도 정리가 안되었지만,, 당시 그래픽 액션 볼거리로 흥행 성공... 지금은 그래픽이 넘사벽 발전... 볼거리도 내용 정리도 개판... 령화 수천편을 본 지극히 개인적인 견해로...개소리 집합체 영화...ㅆㄹㄱ 영화"
433,악마는 프라다를 입는다,10,미란다의 마지막 미소는 평생 잊혀질 수 없을 것 같다
434,호우시절,10,"유학시절 풋사랑이나 국제연애를 경험해 보았다면 이만큼 추억을 되새길만한 영화가 있을까? 20여년 전의, 불안정했지만 꿈만으로도 행복했던 그 시절을 떠올리게 하는 영화...."
435,돈 룩 업,6,감독이 뇌절을 너무 쳐버린 영화
436,돈 룩 업,8,"아담맥케이의 연출과 화려한 캐스팅,,이걸로도 다 하지만 과하지않은 코미디로 풀어낸것도 좋았다"
437,스텝포드 와이프,10,한남들 찔리누? 찌질하게 별점테러나 하지말고 월터처럼 real man이 돼라 너네 엄마들 없이는 세상에 너도 못나왔다~ 여혐하기전에 엄마얼굴 한 번 보고!
438,침묵,10,정말 침묵하게 되는 영화네요여러가지 감정들이 생기고 또 공감되고 최민식배우님 연기력 정말 최고예요
439,돈 룩 업,10,블랙코미디의 정수이자 마스터피스. 모든 장면 하나하나에 미친듯이 웃으면서도 진지해질 수 밖에 없는 이 깊은 해학과 풍자를 어찌하리! 명불허전 배우들의 명연기가 빛을 더한다
440,유레루,7,"타케루, 미친 놈. 감사합니다."
441,바스터즈: 거친 녀석들,10,타란티노 영화중에는 단연 최고.모든 배우가 마치 연기의 신들이 된것 같이 연기. 대화와 언어의 유희가 살벌한 영화. 예를 들어 지하술집에서 술마시며 독일어로 진행되는 시퀀스는 아무 의미없이 10분이 넘어가지만 그 긴장감은 최고OO지 올라감.
442,해피 뉴 이어,8,잔짜 어디선가 본듯한 영화 짜집기 감동 짜집기 그래도 외로운 사람들에게는 위로가 ㅤㄷㅙㄹ수 있는 영화노래가 좋았어요
443,킹스맨: 퍼스트 에이전트,9,두둥! 아들은 주인공이 아니었습니다!(무한도전식 반전)
444,스파이더맨: 노 웨이 홈,10,그냥 최고...소름돋았다
445,바스터즈: 거친 녀석들,10,와 이거 뭐에요쫄깃쫄깃하네요포크소리  소름ㄷㄷㄷ
446,늑대와 춤을,9,"우정,사랑,동물과의 교감,생존,모험 모든요소가 다 있는 영화 실패할수가 없지"
447,엔칸토: 마법의 세계,7,노래에서 왜 이렇게 레츠고를 외쳐대는 지ㅋㅋ성인보다는 아동을 중심에 두고 만든 것 같다유치한 노래가사에 결말이 매우 단순한 게 아쉬웠고 각 인물들의 방이 보여질 때가 영상도 예쁘고 상상력이 돋보여서 즐거웠다
449,화이트 칙스,10,코미디영화중 가장 재밌음 콩트느낌이 강함
450,스파이더맨: 노 웨이 홈,10,역대 스파이더맨 영화중 역대급
451,킹스맨: 퍼스트 에이전트,10,재밌늠 잘 봄 기존 킹스맨 느낌은 당연히 아니지만 그래도
452,경관의 피,10,재밌게보고  다들 연기 잘해요
453,유체이탈자,10,"저예요, 핫도그. 아저씬 고로께! 개인적으로 박지환 배우 노숙자 연기 너무좋네요. 배우분들 좋은 연기, 좋은 작품 잘 봤습니다."
454,경관의 피,8,뭐라고 하는지 모르겠다는 분들이 많은데 그건 아마도 넷플 자막에 적응해 버리신 건 아닌지...워낙 딕션이 별로라는 평이 많아서 걱정하면서 봤는데 무난했어요! 영화 내용도 괜찮아용!!
455,세자매,10,가족의 의미를 알게 해주었다.가족 환경이 많은 영향을 가족 구성원에게 주어지기에부모의 역할이 무엇보다 중요하다.
456,경관의 피,2,오늘 영화관에서 봤는데 개노잼;;; 2시간 너무 지루했네요
458,레옹,10,대부 이후로 이런 명작은 처음
459,광식이 동생 광태,9,연기도 개그도 .. 김주혁의 세월이 가면 best…
460,경관의 피,9,기대안하고 봤는데 재밌어요 뻔하지 않고
461,매트릭스: 리저렉션,1,이거 보고 매우 찝찝해서 매트릭스 1~3 다시보고 눈정화했다. 마치 어릴때 사귀었던 추억의 전여친을 50대에 다시 만난 기분
462,레옹,10,처음부터끝까지 몰입하게하는 영화
463,헤이트풀8,10,딱 쿠엔틴 타란티노 영화
464,레옹,10,내인생에서 엔딩 #1 영화
465,경관의 피,4,"일본영화(고독한 늑대의 피)가 원작인데 원작품은 한국영화 '범죄와의전쟁'급으로 시대상을 잘 묘사해내고 단순하지 않은 스토리지만 간결하게 이끌어내는 편집력으로 매우 재미있게 봤는데, 경관의피는 시대상 선택도 실패하였고 스토리도 일본 원작이 3가지 결만 보여주려 했다면 이건 7가지 결 이상을 보여주려다보니 시간도 부족하고 설명도 약하고 개연성도 떨어지는 결과가 나옴. 망작임"
466,스파이더맨: 노 웨이 홈,10,진짜 러닝타임 긴거 그런거 하나도 모르겟고 첨부터 끝까지 푹 빠져서봤다 ..
467,델마와 루이스,10,"이 세상, 전 우주에서 제일 힙한 두 명의 여자였다."
468,성냥팔이 소녀의 재림,10,"이영화를 안보면 지존 ,이해하지 못하면 고수, 보고 슬프면 중수 , 보고 기쁘면 하수"
469,경관의 피,10,너무 재밌어 다들 눈 똑띠 뜨고 끝까지 잘 봐라잉ㅎㅎ
470,바이올렛 에버가든 - 영원과 자동 수기 인형 -,9,바이올렛 에버가든 자체가 가지고 있는 작품성을 한 편의 이야기로  잘 나타내주었다고 생각. 특유의 분위기와 수려한 작화가 어우러져 하나의 예술작품을 보는듯한. 덤으로 bgm과 ost까지. 심미적으로나 내재적으로나 전부 훌륭하다.
471,돈 룩 업,10,진지해지지 않는 사회를 향한 진지하지 않은 코미디.
472,PMC: 더 벙커,10,재미있음. 하정우는 확실히 느낌이 있다. 이선균도 좋음. 마지막이 멋짐
473,핵소 고지,10,한명이라도 더 구하게 해주소서 총도없이 한명의사람이 그것도 전쟁터에서 부상자75명을 구출한 실화영화 보길잘했어요 감동입니다
474,강릉,2,ㅋㅋㅋ경찰은 친구한테만 쌘척함
475,언포기버블,10,모든 사건들이 현실적으로 납득이 가는 영화.굳이 비현실적인 부분을 꼽자면 친절한 변호사.
476,스파이더맨: 노 웨이 홈,8,진짜로 모이니까 너무놀랬음 ㅋ너무꿀잼 친한친구랑 나이먹어서 보니까 더새롭네요
477,스파이더맨: 노 웨이 홈,6,개연성 없는 추억여행..
478,경관의 피,7,최우식의 동안 페이스가 발목을 잡는구나
479,돈 룩 업,10,헬보이할배 우주선타고 날라갈때 드립에 뿜었다 ㅋㅋ
480,클래식,1,정말 한심하기 짝이 없는 영화. 몇번을 짜집기한거야; 정말 보면 볼수록 어이가 없어졌다ㅋㅋ;;
481,강릉,2,모든게 어색하고 유치한 조폭영화ㅠ
482,해피 뉴 이어,10,잔잔하고 예쁜 이야기.잘 봤습니다.
483,경관의 피,6,빌런 중요도도 낮고 마약 개연성도 억지로 짜깁기한 느낌임
484,돈 룩 업,8,지구 최후의 날을 그린 수 많은 영화들 중에서 가장 황당한데 가장 현실적이었다. 사악하고 어리석은 인간들은 실제로 파멸의 길을 선택할 듯!ㅎㅎ
485,폴라 익스프레스,10,12월이 되면 생각나는 영화
486,갓파 쿠와 여름방학을,10,어렸을 적에 한번 봤다가 우연히 다시 보게 됐는데 성인이 된 지금도 여전히 눈물샘을 자극하네요ㅠㅠ 넘 슬펐어요
487,원더,10,"'평범한 사람은 없음을, 우린 평생에 한번은 박수 받을 자격이 있음을.' 극 중에 나오는 모든 배역이 주연 이였다."
488,인질,3,"하...진짜 너무한거아니냐 ㅋㅋㅋ  납치살인 유력용의자에, 편의점직원 폭행 현행범, 경찰들 차로 치고 튄 뺑소니, 자동차로 깽판치고 상가 개박살낸뒤에 폭탄 터트리고 도주 등등등등   근데  경찰들이 단한번도 총을 안쏨 ㅋㅋㅋ 그리고 전국민이 보고있는 영화배우 납치사건에다 화기,폭탄 소지한 테러리스트들인데 경찰인력이 꼴랑 10여명 한쪽에는 2명이 감 ㅋ 그리고 총쏠기회가 있었는데 몸싸움하다 경찰은 또 총맞고 진짜 너무 허술하네 에효"
489,라이언 일병 구하기,10,사나이 가슴한쪽이 뜨거워지는 영화다...
490,"불량소녀, 너를 응원해!",10,너무 잘 봤습니다 ..!
491,드라이브 마이 카,10,하루키 취향이 아니라 그 특유의 스타일 조금만 빼면 완벽. 이야기들의 짜임을 어떻게 이렇게 멋지게 구성한건지.. 감독이 정말 멋짐..  그에 더해 박유림의 발견!!
492,매트릭스: 리저렉션,6,염력배운 존윅
493,에놀라 홈즈,1,제발… 영화까지 더럽히지마 꼴페미련드라 ㅠㅠㅠ
494,경관의 피,10,"남들기 대사 안들린다는데 잘 들림 최근 영화중 지루할 시간이 없었음 영화 보면서 자는거 좋아함 잘 시간이 없었음 댓글 처음 달아봄 내 스타일 영화임 동생한테 영화 추천하는데 경관의피 보라고 평점 9점이상이라고 하면서 들어와 보니 7점대네,,,"
496,동네사람들,7,누구도 믿을 수 없는 동네사람들
497,"지금, 만나러 갑니다",10,뭐 하나 빠진게 없는 영화.
498,벤자민 버튼의 시간은 거꾸로 간다,10,인생을 힘들게 살지말자. 사랑하는 사람을 위해서...
499,엄마의 직업,10,여주 이채담님 너무 이쁘고 매력적이에요...영화보고 완전 반함....대체불가의 마력적인 여캐진심 반함...
500,쉰들러 리스트,10,"절대 있을 수 없는 일. 그런데, 실화라니... 인간의 존엄성을 다시금 중요하게 생각하게 자극을 받았다. 지금이라도 이 영화를 챙겨볼 수 있어 다행이다. 정의가 답이다."
501,셰이프 오브 워터: 사랑의 모양,10,Best movie ever
502,미드나이트,2,뭐 이런 x같은 영화가 다있냐 청각장애인은 무슨 인간이하취급하고 경찰은 빙다리핫바지로 나오네 답답해죽을뻔했다 청각장애인이 말하는건 듣지도않음 감독누군지 보러왔다가 글쓴다 ㅉㅉ 감독 때려치셈 레알임 이건 말이안됨. 암유발영화
503,담보,10,하지원 너무 이쁘십니다 ㅎㅎ
504,돈 룩 업,10,권력과 돈이 만들어내는 최고의 공포영화
505,보이스,10,너무 불편해서 평점이 좀 낮은거같은데~보는내내 불편하면서 긴장감있어서 재밌게 봤네요
506,해운대,1,와씨.. 넷플로 지금 보고 있는데 배우들  연기 개떡같네.
507,포레스트 검프,10,톰행크스의 연기가 영화를 살립니다
508,아워 바디,8,세상은 내뜻과 달리 움직이지만내 몸은 내가 하기 달렸다
509,낙원의 밤,10,스토리는 아쉽지만 재밌게 잘 봤어요
510,인천상륙작전,10,빨갱이들은 부들부들할 영화!!
511,기적,8,배우들 연기 최고 윤아 연기 늘었구나 장하다윤아나올때면 멍하게 봄
512,그것만이 내 세상,10,박정민 피아노 진짜 좋았어요
513,유체이탈자,1,도대체 뭔 내용인지.. 이렇게 재미없는 영화 오랜만이네요..
514,기적,10,오랫만에 감동적인 영화 잘봤습니다
515,용의자,10,와 대박 역대급 한국영화네...이걸 이제서야 보다니....대박임. 마무리까지
516,라스트 듀얼: 최후의 결투,6,이상한 영화인거 같아요.
517,부탁 하나만 들어줘,9,반전의 반전의 반전의 반전의 반전의 ...
519,스파이더맨: 노 웨이 홈,10,눈물 참느라 힘들었습니다ㅠㅠ
520,돈 룩 업,10,영화는 이렇게 만들어야지
521,고스트버스터즈 라이즈,6,무난한 영화
522,씽2게더,10,오랜만에 노래만하는 뮤지컬영화네요 대중가요를 사용한것도 인상적임
523,밤쉘: 세상을 바꾼 폭탄선언,10,상하관계에서 회사내 성희롱과 성추행을 제대로 나타낸 영화 다들 꼭 보세요. 실화기반이고 아직도 현재에 이런 일이 만연하단사실..
524,클레멘타인,10,이 영화를 보고 근심이 가득했던 내 삶에 근심이 없어지고 깨달음을 얻었다
525,고장난 론,7,귀여운 영화
526,성룡의 신화,1,돈 많은 성룡이 희선이랑 찍고 싶었구나 ㅜ. 이게 2005년 영화라니...
527,암살,1,국뽕이 극에 치달음;;...일본어 연기도 너무 어색함;;;어휴;;
528,매트릭스: 리저렉션,10,평점이 안좋아서 안보려했으나 막상 보고나니 예전 생각도 나고 연출도 좋았음 전체 평점은 재밌었음.
529,침입자,9,흠  몰입시켰다는 사실만 보더라도 높은 평점을 주고 싶다
530,돈 룩 업,10,종말을 대하는 현대인의 관심병.종말로 인해 들어나는 인간의 광기.
531,스파이더맨: 노 웨이 홈,7,스파이더맨 영화
532,아이스 로드,10,역시 리암리슨! 그리고 출연진의 연기가 참 좋네요~
533,싱크홀,8,재미있음. 시간가는줄 모르고 봄
534,반도,1,대학교 영화과 1학년 영화제 진출작 그 이상 그 이하도 아난.대사는 정말 재수강을 각오해야하는 수준
535,몽타주,10,배우들 연기최고 엄정화 연기 돋보였음 눈물이날정도로
536,고스트버스터즈 라이즈,9,클라이막스가 좀 이쉽지만 추억돋네요
537,엔칸토: 마법의 세계,7,영상미가 좋은 영화
538,씽2게더,10,와보는내내눈과귀가즐거움
539,여타짜,10,타짜를 넘어선 스토리와 전개 김혜수보다 섹시한 이채영의 명연기 최고의 영화네요
540,백두산,1,덱스터 포트폴리오 그 이상 그 이하도 아닌.
541,매트릭스: 리저렉션,6,무난한 영화
542,돈 룩 업,10,최고의 블랙코미디 재밌었다
543,해피 뉴 이어,10,평범한 일상 이야기지만 재미있었어요
544,씽2게더,9,어른도 재미있는 스토리와 연출.. 음악 최고~
545,돈 룩 업,10,예상했던 결말에서 벗어남
546,몬스터,9,맘 아픈 영화...
547,킬링 카인드: 킬러의 수제자,6,킬링타임 영화
548,레디 플레이어 원,8,메타버스와 P2E. 거스를수 없는 시대의 흐름
549,어쩌다 아스널,10,최근 본 영화중 가장 좋았어요
550,서치,10,큰기대없이 봤는데 솔찬히 재밌음....
551,라스트 듀얼: 최후의 결투,10,"이런게 영화다, 중세시대를 극사실주의로 보여준다.단 한장면도 놓칠수 없다"
552,봉오동 전투,1,고귀한 역사를 중국 저급 선동영화처럼 담은 괴작.음향은 대학생 단편영화 수준.내가 다 부끄럽다!
553,헌트,5,사냥 할 땐 길가던 맹수를 조심합시다
554,경관의 피,9,경찰3대 하면 스트라이킹 디스턴스 아님?아님 말고...
555,프랙처드,10,간만에 공포 스릴러땡겨서 넷플에서 봤는데 최근에 나온 스파이더맨보다 재밌네. 계속 뭐가뭔지 헷갈리고 끝날때까지 몰입도 쩔음.
556,장고:분노의 추적자,10,제이미폭스가 왈즈와 디카프리오에 묻히는 듯했는데 뒤에  멋지다
557,경관의 피,10,최우식배우님 너무 잘생기셨습니다..
558,해피 아워,8,"절름발이 인생을 버티게 하는 건 지나치는, 지나칠 수 없는 대화들"
559,미스 슬로운,9,마지막에 반전은 식스센스를 넘는 뒤통수였다... 대체 몇 수를 내다보는 사람인건지...ㄷㄷㄷ
560,혐오스런 마츠코의 일생,9,알 수 없는 세상 속에서 그래도 계속. 계속 사랑하자
561,명탐정 코난: 비색의 탄환,10,역시 코난은 항상 재밌네요 몰입감도 좋고
562,어펜더: 범죄와의 전쟁,8,복수란 차갑게 식혀 먹는 아이스크림과도 같다
563,프렌치 디스패치,6,화려한 캐스팅의 영화
564,록 스탁 앤 투 스모킹 배럴즈,8,조각들이 들어맞을 것 같은데 잘은 모르겠고... 근데 이렇게 이어지네?지금 보면 뻔하다고? 클래식이 원래 그래
565,기억의 밤,10,짜임새 있는 스토리 잼있었습니다
566,노웨어 스페셜,10,남편이랑 펑펑 울면서 봤네요~
567,황무지의 괴물,4,그냥 미친 정신병 같았음 …
568,경관의 피,10,"올해 첫 영화로 대만족!!다른 리뷰들은 딕션이 잘 안들린다는데영화관에서 안들린다는 느낌은 못 받음.배우들 연기 너무 잘하고, 슈트핏 짱.."
569,경관의 피,7,"귀가 너무 아팠어요 사운드에 노이즈가 잔뜩,,그래도 재미있게 봤습니다~"
570,러브레터,10,내 최애 영화. 결제하고 본다
571,모가디슈,10,간만에 몰입해서 봤네요
572,씽2게더,10,코로나를 잊고 즐길수있는 영화 알만한 팝송들이 적재적소로 깔려 더 재미있다 영화관에서 보시길~ 또보고싶음
573,인디펜던스 데이,10,인디펜던스 데이 1편은 진짜 엄청난 명작이다. 2편에서 돈 벌려고 하다 말아먹은게 아쉬울뿐
574,인디펜던스 데이: 리써전스,7,킬링타임용으로 딱 적합함. CG는 좋았는데 스토리가 너무 엉망이라 3점 깎음
575,경계선,9,흡입력만으로 9점 땅땅땅
576,싱크홀,2,30분이면될영화를 늘려서 만든느낌 지루하신파적
577,"나는 내일, 어제의 너와 만난다",10,이게 안슬프면 싸이코패쓰다
578,경관의 피,5,진심 감독과 음향감독등 제작진은 영화 확인은 하고 상영관에 필름 제공한건 맞아요?? 전체적으로 거의 대사가 다 뭉개졌어요. 박명훈 배우만 또렷하고 선명하게 들리고. 이걸 보라는거냐고요 대체.
579,기담,9,사랑과 영혼을 다룬 감성적인 이야기. 저마다의 스토리에 각기 다른 슬픈 사연을 그린 감동적인 작품. 무서운 장면도 있지만 대체적으로 불편하거나 기괴함은 없고 여운이 남는 영화였다.
580,극장판 마법소녀 마도카 마기카(신편): 반역의 이야기,10,보다가 중간에 질질 짰습니다 살려주세요 이거 단순 마법소녀물이 아니지 않습니까
581,경관의 피,2,전 배우들의 홍보 열정 만큼 기대를 너무 했었나..ㅠ  조진웅 배우님이 없었다면 정말 큰일 날뻔한 영화
582,위대한 개츠비,10,감상후기로는 마음이아프다. 사랑이란 감정은 무엇일까. 영상과 ost는 최고
583,스파이더맨: 노 웨이 홈,10,그때동안 어벤져스 시리즈를 집에서 보고 와 라는 느낌만 들고 이번에 처음으로 영화관에서 봤는데 이건 말로 설명할 수 없음 희노애락이 다 담겨있음. 꼭 영화관 가서 보세요 ㅈㅂㅠㅠ
584,전야,10,홍아름 최고의 연기력.응원합니다.
585,기적,10,진짜 너무 간만에 넘 따뜻하고 감동적인 영화 잘 봤어요! 오래 기억 될 영화가 될듯 :)아주 재밌게 잘 봤습니다!
586,라스트 사무라이,6,서양인이 만든 일본 사무라이 문화를 숭배하고 일본의 민족심과 전통을 고취시키는 영화임영화 속 사무라이들이 말을 타고 대포를 향해 진격하는 장면은 마치 조선시대 우리 선조들이 조총으로 무장한 일본병사들과 싸우는 것 같았음
587,마음에 부는 바람,8,"나는 진짜 첫사랑을 못해본 것일까 이미 마음이 굳어버린 것일까. 아름다운 피아노 선율, 풍경소리, 푸르름 가득 안고 흔들리는 나뭇잎들이 두 남녀보다 눈에 귀에 가득하니 말이다. 청량하게 아름다우나 감정에 흠뻑 젖지는 못했다. 초여름에 한번 더 봐야지"
588,경관의 피,10,왜 평점이 낮은거지??
589,엔칸토: 마법의 세계,10,진짜 너무 의미있는영화같아요 하나하나 등장인물들이 다 개성 넘치고요진짜 재미있게 봤습니다약간 아쉬운건 제가 느끼기에만 그랬을수도있지만 감동적이지는 않았던것같아요그래도 너무 재미있게봤습니다
590,터미널,4,허황되고 억지스런 스토리.. 배우들의 명연기를 원하는 영화로 아니고 뻔한 결말이 기다리는 따분한 영화..
591,미나리,6,"연기, 컷편집, 전개 모두 독립영화수준"
592,매트릭스,10,워쇼스키 자매 천재모드였을때
593,씽2게더,10,"음악도 좋고, 재밌었어요"
594,오케이 마담,1,진짜 유치하다 ㅜ 배우들이 아까움
596,스파이더맨: 노 웨이 홈,9,스파이더맨 덕후에겐 최고의 영화ㅠㅠㅠ 대통합 장르
597,돈 룩 업,10,중간에 빡쳐서 그냥 싹 다 죽었으면 했는데 진짜 다 죽네 이게 뭐람
598,아이,10,보는 내내 먹먹해지는 영화.좋은 작품 만들어주셔서 감사합니다.
599,씬 시티,8,미친  페미 빡대갈 대깨문들은 평점 못쓰게 좀 걸러 봐라 육수 멧돼지들 평점 내용 봐라 ㅋㅋㅋ
600,컬러 퍼플,10,흑과 백은 없다 파랑과 빨강 그리고 보라만 있을 뿐
601,경관의 피,10,조진웅 배우님과 최우식 배우님 연기 너무 잘 봤습니다. 권율 배우님의 악역 연기도 너무 좋았습니다.
602,기적,10,박정민때문에 봤다가 어? 봉화ㅎㅎㅎ봉화에서 어린시절을 보낸지라 영화 보는 내내 향수가 느껴졌네요 지금은 저도 쓰지않는 봉화사투리를 이성민 배우님이 얼마나 찰떡같이 하시던지 완전 깜놀! 어렸을때 들었던 동네 사람들이랑 말투 똑같아요 ㅎㅎㅎ진짜 그리고 방심하다 오열했어요
603,실미도,1,"죽으러 가는 거나 다름 없는 이 임무에 투입하기 위해 사형수, 조폭, 흉악범 등을 포섭해 특수부대를 만들었다고 알려져 있으나, 실상은 평범한 사람들이 모집책의 감언이설에 속아 자원한 것이다.이들의 모집과정은 북파공작원이랑 똑같이, 물색관이 전국을 떠돌아다니며 젊고 혈기 좋은 남자에게 경제적인 지원을 조건으로 제안하는 식이다.당시 5원이었던 담배의 12배 가격인 60원짜리 담배 2갑을 이틀마다 지급하겠다고 했고, 당시 교사 월급 1만원인데 600불(16만원)을 월급으로 지급하겠다고 하니, 가난하고 힘없는 젊은 청년에게는 집을 일으켜 세울 수 있는 최고의 조건이었던 셈이다. 거기에 나라를 위해 일을 하니 훗날 영웅대접까지 받을 수 있다고하니 이보다 더 좋은 조건이 어디에 있을것이며, 거절하여 지금과 같은 삶을 계속 살고 싶은 청년은 하나 없었을 것이다.그러다 보니 번듯한 직업을 가진 사람이 아니거나, 저학력자들이 많았을 가능성이 높다. 시골의 순박한 농민이나 일용직 노동자를 비롯하여 쪼록꾼, 운동선수, 요리사, 서커스 단원도 포함되어 있었다.종합하자면 몇 명은 과거에 전과가 있긴 하나 범죄자들을 모아서 만든 집단은 아니었다."
604,기적,10,으에에엥 슬프고 재밌고 다해요ㅠ
605,핑크,4,현실은 핑크가 될 수 없었다
607,돈 룩 업,10,부자 유전자는 살아남는다
608,스파이더맨: 노 웨이 홈,10,개재밌음 걍... 토비 맥과이어 나올때 눈물날뻔
609,퍼펙트 스톰,10,이런게 영화지 인생영화다 타이타닉급 영화다
610,날씨의 아이,10,진짜 여운이 많이 남는 작품...
611,돈 룩 업,10,현시대를 사는 우리가 왜 우울한지 이영화가 너무도 잘 설명해준다. 적당히 좀 하자 인간들아! 그러고 보면 우리의 삶에 부족함은 없었어~~
612,용의자,10,공유작품중최고네요  도깨비랑
613,악마가 너의 죽음을 알기 전에,10,와 호프만 유작 부근일거라 생각했는데 2007년작이라니. 현재와 굉장히 동시대적인 작품이다. 마지막 아버지의 치밀한 행동을 보니 자식들이 호래자식이 된 8할의 지분이 그에게 있을거라 본다.
614,씽2게더,6,음악이 너무 좋아요 스토리는 조금 아쉬움
615,배신자,3,실화바탕이기에 전개가 단순한 마피아 변절자 이야기
616,해피 뉴 이어,8,재미있게봤어용 가볍게 보기 좋아욜
617,헝거게임 : 판엠의 불꽃,10,1~4까지 몰아봤는데 진짜 너무 잘 만들었다.. 이렇게 완벽한 시리즈라니
618,램,8,특별한 내용 없이 묘한 분위기만으로 끌어가는데 지루하지않음. 보는 내내 계속 생각해보게되는 영화여서 저는 잘 봤습니다. 근데..공포로 홍보한게 독이 된거 아닌가싶음.. 공포요소는 없고 살짝 스산한 분위기정도..
619,프라미싱 영 우먼,10,계속 생각하게 하는 영화.. 이 여운이 부디 피해자&잠재적인 피해자들의 마음에만 남지 않길...
620,검사외전,7,"약간은 억지스러운 부분이 있지만, 킬링타임용으로 보기 좋았습니다."
621,보안관,10,ㅋㅋ 주연 조연 다 굿. 개꿀잼 ㅋㅋ
622,기적,10,보면서 반전에 울컥했어요
623,브로크백 마운틴,8,사랑은 기다려 주지 않음을…
624,극장판 귀멸의 칼날: 무한열차편,10,역대 최고의 만화 !!!
625,경주,8,여러분 이 영화는 결혼전에 인기많고 지금도 잘 나가고  아무리 잘 생겼다라도 유부남은 로맨스를 할 수 없다는 겁니다. 이혼을 하거나 사별을 하지 않는한 말입니다. 그리고 무슨일이 있어도 정만정도를 지키는게 중요하고요후배 남편 왔다니까... 누군지도 모르는데 튀는거 봤죠. 정도를 못 지킨 남자 였음 골로 갔을거다라는 암시까지...  많은걸 느끼게 하는 영화네요
626,씽2게더,10,보는 내내 온몸에 전율이… 진짜 짱입니다… 내한 콘서트 갔다 온 기분이에요
627,경관의 피,10,오랫만에 영화 재밌게 봤습니다 2편도 기대해봅니다
628,나이브스 아웃,10,"왜케 잘 만든거야, 오랜 만에 명작 감상. 추리소설 중에서도 수작을 본 느낌. 연기 다들 잘 하고. 마르타 연기 짱"
629,경관의 피,10,부담스럽지않게 부담스럽지않게 보기 좋았어요
630,마법에 걸린 사랑,10,"과거의 디즈니 공주를 풍자하면서도 이 영화만의 매력이 있어서 좋았어요. 일단 영화 자체의 매력으로는 지젤 역이 진짜 디즈니 공주처럼 연기를 너무 잘 해주셨고, 애니메이션이랑 실사를 섞은 것도 참신했고, 역시 디즈니답게 노래도 신나고 좋았어요. 풍자도 재밌게 잘 했다고 생각한 게 에드워드가 이름 묻고 바로 내일 아침에 결혼하자고 하는 부분이 엿날 디즈니라면 로맨틱하게 묘사했을 텐데 여기에서는 그렇게 웃길 수가 없겠더라고요. 또 개인적으로 좋았던 건 엔딩에서 지젤과 로버트만 행복한 '연인'이 되기보다는 모건과 함께 행복한 '가정'을 이룬 모습이 정말 좋았어요. 셋이 너무 행복해보여서 저까지 가슴이 따뜻해지는 느낌...."
631,헝거게임 : 더 파이널,10,마무리까지 완벽했다 ㅠㅠㅠ
632,마징가 Z: 인피니티,5,그냥 그저그럼...
633,킹스맨: 퍼스트 에이전트,8,아들진짜 답답타… 그래도 잼났음
634,해피 뉴 이어,2,다행이다.영화관에서 봤으면 화났을 듯…핸드폰으로 봐서 다행이다….. 다신 안 봐야지^^
635,킹스맨: 퍼스트 에이전트,10,솔직히 지루할 틈 1도 없었다.
636,킹스맨: 퍼스트 에이전트,9,숄라 존멋 ㄹㅇ 찢었다 진심으로
637,돈 룩 업,10,"지구가 망한다면 이보다 현실적일 것 같다 너무 아름답게 미화된거 같지만 영화는 영화일뿐이니깐 , 인생은 소중하다는걸 깨닫고 인간은 인간일뿐 잘난 사람 못난 사람없는 것 같다."
638,갓파 쿠와 여름방학을,10,"넷플에 추천으로 떠서 우연히 보게 되었는데 보길 정말 잘했다., 빠르지 않고 섬세하게 진행하는 장면들이 너무 좋았다… 그리고 너무 감동적ㅜㅜ뿐만 아니라 교훈도 있고 쿠도 너무 귀여움,,"
639,경관의 피,1,너무 재미없어요스토리 개연성도 떨어지고유치한 대사(잘 들리지도 않고)음악도 이상하고뭔 얘기를 하겠다는건지..보는 내내 갸우뚱하게 만드는 영화
640,폴라,10,남자가 좋아할만한 모든게 담겨있다.개인적으로 최애였던 존윅보다 한수위의 영화라 생각함.
641,프로포즈 데이,9,약간익숙한듯한클리셰지만영상미와 멋진배우들로 ♡
642,알리타: 배틀 엔젤,10,정말 여전사 그냥 다 무찌른다 천하무적
643,해피 뉴 이어,1,배우분들 얼굴 보러 가는…
644,기적,10,간만에 진짜 잘 봤다 와나 감동이다 ㅠㅠㅠ 강추 한다 !!
645,덩케르크,6,"그다지 긴박함을 느끼지 못하겠고,3가지 이야기를 분할해서 억지로 전개하느라 시간 순서가 뒤죽박죽이어서 밤이었다가 갑자기 낮의 씬 보여주고 사람 혼동하게 만드는 어거지도 보여줌"
646,돈 룩 업,10,심각한 재난영화인줄알고봤는데 완전 코미디영화라서 신선하네요.영화보다 이렇게 웃은거 진짜오랜만입니다. 끝장면에 진짜 ㅤㅃㅘㅇ터짐ㅋ
648,모가디슈,10,조인성 너무좋음ㅋㅋㅋ
649,매트릭스: 리저렉션,2,모든 시리즈 영화는 오리지날 1편만큼훌륭할수없다 너무나 좋은작품이었기에2.3.4가 제작될뿐 터미네이터나 매트릭스나1.2 까지가 역작이다
650,크리미널 스쿼드,10,재밌음 추천합니다 추천
651,동네사람들,1,1점도 아까움..할말이없네요..
652,마크맨,2,"어이없는 전개와,볼거없는 액션...진부한 스토리"
653,남자가 사랑할 때,10,감동 특히 장례식장 눈물 웃음
